comment,is_spam
Cats can eat grass it helps them when there stomach hurts badly,0.0
I can't wait for Part 2 on this :D look's awesome and adorable the same time,0.0
"Its okay about the poncho Jack, you return to the area after that tranceiver mission",0.0
Jack you forgot to find the first few memory slots in your record tab that your robit cat AI needs,0.0
"I really hope Jack plays Sky some day, I really think he would like it and love to explore the beautiful world, please do I would love to see it❤️",0.0
I wish to see more episode. Need coffee.,0.0
Warrior cat vibes anyone?,0.0
Hey Jack I have a song for you it is called Valhalla calling by miracle of sound,0.0
"Jack: ""What is going through cats heads when they knock stuff over?""
Also Jack: *proceeds to knock every paint can over*",0.0
This cats level of intelligence is quite astounding considering he is orange.,0.0
This is how my grandpa described his way to school back in the day.,0.0
oh god knowing the ending hurts....,0.0
Its the cat of Nathan Drake LOL,0.0
Yes i wanted to see you play this so badly❤❤❤,0.0
Anyone else notice how Jack plays with his fingers a lot now? It’s ADORABLE 🥰🥰,0.0
Let's f ing go,0.0
The music reminds me of oneshot for some reason,0.0
Just my thought but maybe why most signs are unreadable it may be showing how cats can’t read lol 😂 not fact just my take on it,0.0
Morrrrrrrrrree plz,0.0
If the days thing is divided by 365 you get ~7 million years since a start point but we don't know what that start is the latest potential year this game is in the 9927 give or take some years.,0.0
I want this to be a movie,0.0
"You should watch Felidae (1994), it’s an animated film about intelligent cats with a twist ending (warning: adult horror)",0.0
Cats are the most precious thing to me and 5 minutes in and i know im gonna call them cute with jack every ten seconds,0.0
Bruh why so many ad on this one,0.0
I'm in love with this game now,0.0
"Game developers: we made a game where you play as a cat.
The entire internet: shut up and take my money. 😸😸😸",0.0
I need more of this !!!,0.0
I think humans did experiments with the cats long ago and made the cats super smart,0.0
"when Sean started meowing in the game my cat came up, this game calls them all!!",0.0
"I started playing yesterday and I love it so much, I've already gotten 33% of the achievements.
I named the cat Macaroni",0.0
idk why jack keeps on knocking over the paint cans but I hope this will be a series,0.0
"Jack: ""why is there a cat standing in front of an ominous red door?""
Me: ""foreshadowing""😂",0.0
I kept seeing ads for this game on steam and I was waiting for a specific happy go lucky Irishman to play it,0.0
"Man that cat sure is super acroCATic XD
I'll stop ;-; 
Actually no I won't, that was funny lol",0.0
"""youre a robot and you don't speak robot"" imagine not understanding a language and being told: youre a human and you don't speak human? Jdjdjshsdhshs",0.0
"I absolutely love this :3
I'm just leaving a comment so this video does better and hopefully jack will do a part 2",0.0
"""Natural light that leaked from a star.""

Jack: Woah... So did that infection sort of like, land on an asteroid?

No Jack, they're talking about the sun",0.0
"Considering that it said earth is 4.54 billion years old, this game ""only"" has a buffer of about 1 million years between modern day and the game.",0.0
"YES! orange kitty ""dorobo neko""",0.0
"Jack's reaction encapsulates the protective nature I have over these fuzzballs, been caring for 3 for quite a while,  and I would literally jump in traffic to save them if it came to it.",0.0
valid video,0.0
"Finally a game where robots arent evil and actually helped and cherished humans! This game is adorable, and I absolutely love this kind of retro cyberpunk!",0.0
"Jack: if I were a battery where would be

Battery plugged in the computer: I DoN't KnOw WhErE!?",0.0
My haert,0.0
this game needs a photo grab mode,0.0
I am so emotional right now; I even have a cat with me right now to snuggle!!! 😍😍🐱🐱,0.0
just watched gab play this and yes i'm watching jack play it again. it's just that good of a game! so heartwarming yet terrifying at the same time,0.0
i think the game has a made up language because cats can't read so youre not supposed to know what the signs are saying,0.0
46:23 Man just didn't figure out da text was talking about the sun 💀,0.0
is there a similar game but with dogs?,0.0
I can just imagine BB looking into a camera and trying to grab it,0.0
jack you should play lost in random!!,0.0
46:27 Pretty sure they're just talking about the sun,0.0
"Sean: ""Yeah, can we cut it with the tornado warning? I'm a _cat,_ not a natural disaster!""

Tell that to those poor innocent _paint cans._",0.0
Watching Jack die from cat cuteness is the other cure for sadness,0.0
"Jack: ""I'm a cat not a natural disaster.""
Me: ""Sounds like a cat to me.""",0.0
i have selected this playthrough to watch as i smoke the good stuff and watch cats,0.0
